bbl,facdomain,facgroup,facsubgrp,factype,facname,overagency,address,id
1016297502,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,SUNSHINE DAYCARE,NYC Department of Health and Mental Hygiene,1595 LEXINGTON AVENUE,28821
1016297502,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,RISE UP,NYC Department of Health and Mental Hygiene,1595 LEXINGTON AVENUE,25466
1016400021,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,JAMES WELDON JOHNSON (1),NYC Department of Education,173 EAST 112 STREET,15328
1016400021,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,JAMES WELDON JOHNSON (2),NYC Department of Education,165 EAST 112 STREET,15329
1016400021,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),GED AND ALTERNATIVE HIGH SCHOOL EQUIVALENCY,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS,GED P2G-CORNERSTONE - AHSEP,NYC Department of Education,1833 LEXINGTON AVENUE,12288
1016400021,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),GED AND ALTERNATIVE HIGH SCHOOL EQUIVALENCY,GED-ALTERNATIVE HIGH SCHOOL EQUIVALENCY PREP PROGRAMS,GED - P2G AT CORNERSTONE,NYC Department of Education,1833 LEXINGTON AVENUE,12267
1016470001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,WASHINGTON HOUSE (HIGH SCHOOL),NYC Department of Youth and Community Development,1775 THIRD AVENUE,31849
1016470001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,WASHINGTON HOUSES,NYC Department of Youth and Community Development,1775 THIRD AVENUE,31850
1016470001,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,COMMUNITY CENTER,WASHINGTON,NYC Housing Authority,1775 THIRD AVENUE,168
1016470001,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,COMMUNITY CENTER,WASHINGTON,NYC Housing Authority,1893 SECOND AVENUE,31824
1016490001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,NYCHA-GEORGE WASHINGTON,NYC Department of Education,1955 SECOND AVENUE,20335
1016490001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,PRESIDENT GEORGE WASHINGTON,NYC Department of Education,1955 2 AVENUE,23922
1016520001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,DREAM CHARTER SCHOOL MOTT HAVEN,NYC Department of Education,1991 2 AVENUE,9720
1016520001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,DREAM CHARTER SCHOOL,NYC Department of Education,1991 2 AVENUE,9716
1016520001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,DREAM CHARTER SCHOOL HUNTS POINT,NYC Department of Education,1991 2 AVENUE,9719
1016540011,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"UNION SETTLEMENT ASSOCIATION, INC.",NYC Department of Health and Mental Hygiene,237 EAST 104 STREET,30755
1016540011,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,LEGGETT MEMORIAL,NYC Administration for Childrens Services,237 EAST 104 STREET,16613
1016550038,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,AMBER CHARTER SCHOOL EAST HARLEM,NYC Department of Education,220 EAST 106 STREET,1876
1016550038,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,AMBER CHARTER SCHOOL III,NYC Department of Education,220 EAST 106 STREET,1878
1016560001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,FRANKLIN PLAZA,NYC Administration for Childrens Services,2081 2 AVENUE,11871
1016560001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"UNION SETTLEMENT ASSOCIATION, INC.",NYC Department of Health and Mental Hygiene,2081 SECOND AVENUE,30754
1016560001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,EAST HARLEM BLOCK NURSERY 1,NYC Administration for Childrens Services,215 EAST 106 STREET,9952
1016560001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,UNION SETTLEMENT ASSOCIATION INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,NYC Administration for Childrens Services,2081 2 AVENUE,30749
1016560001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,THE EAST HARLEM BLOCK NURSERY INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,NYC Administration for Childrens Services,215 EAST 106 STREET,29442
1016560001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,EARLY EDUCATION PROGRAM,EAST HARLEM BLOCK NURSERY 1,NYC Department of Education,215 EAST 106 STREET,9953
1016560001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,EARLY EDUCATION PROGRAM,FRANKLIN PLAZA,NYC Department of Education,2081 SECOND AVENUE,11872
1016560100,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,UNION SETTLEMENT ASSOCIATION INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,240 EAST 109 STREET,30742
1016560100,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,YMCA OF GREATER NEW YORK/VANDERBILT AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,240 EAST 109 STREET,32912
1016590012,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,DOE UNIVERSAL PRE-K,THE BILINGUAL BICULTURAL SCHOOL,NYC Department of Education,219 EAST 109 STREET,29185
1016590012,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DOE UNIVERSAL PRE-KINDERGARTEN,DOE UNIVERSAL PRE-K,P.S. 83 LUIS MUNOZ RIVERA,NYC Department of Education,219 EAST 109 STREET,22511
1016590012,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - PUBLIC,THE BILINGUAL BICULTURAL SCHOOL,NYC Department of Education,219 EAST 109 STREET,29186
1016590012,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - PUBLIC,P.S. 083 LUIS MUNOZ RIVERA,NYC Department of Education,219 EAST 109 STREET,21342
1016620001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,UNION SETTLEMENT- HEALTH HOME NON-MEDICAID CARE MANAGEMENT,NYS Office of Mental Health,2089 THIRD AVENUE,30758
1016620001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,UNION SETTLEMENT ASSOCIATION- HEALTH HOME CARE MANAGEMENT,NYS Office of Mental Health,2089 THIRD AVENUE,30757
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,PREGNANTADDICTSADDICTEDMOTHERSPGM OTP,NYS Office of Alcoholism and Substance Abuse Services,1900 2 AVENUE,23871
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,EXTENDED CARE PROGRAM OTP,NYS Office of Alcoholism and Substance Abuse Services,1900 2 AVENUE,10958
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,METROPOLITAN HOSPITAL CENTER OTP,NYS Office of Alcoholism and Substance Abuse Services,1901 1 AVENUE,18221
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,MULTI TRACK ABSTINENCE PROGRAM OTP,NYS Office of Alcoholism and Substance Abuse Services,1900 2 AVENUE,18987
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,HHC METROPOLITAN HOSPITAL CENTER HIV TESTING SERVICES: ROUTINE TESTING IN CLINICAL SETTINGS,NYC Department of Health and Mental Hygiene,1901 1 AVENUE,13813
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,CENTER FOR COMPREHENSIVE HEALTH PRACTICE INC,NYS Department of Health,1900 SECOND AVENUE,5833
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,METROPOLITAN HOSPITAL CMHC EAST HARLEM CONTINUING DAY TXT,NYS Office of Mental Health,1900 SECOND AVENUE,18223
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,METROPOLITAN HOSPITAL CMHC CHILD/ADOLESCENT CLINIC,NYS Office of Mental Health,1900 SECOND AVENUE,18222
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,METROPOLITAN HOSPITAL PACT (TEAM 1),NYS Office of Mental Health,1901 FIRST AVENUE,18226
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,METROPOLITAN HOSPITAL PACT (TEAM 2),NYS Office of Mental Health,1901 FIRST AVENUE,18227
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,METROPOLITAN HOSPITAL ADULT MENTAL HEALTH CLINIC,NYS Office of Mental Health,1900 SECOND AVENUE,18216
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,PHYSICAL HEALTH-MENTAL HEALTH INTEGRATION,NYS Office of Mental Health,1901 FIRST AVENUE,23449
1016690001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,CONSULTATION-LIAISON PSYCHIATRY,NYS Office of Mental Health,1901 FIRST AVENUE,8648
1016730006,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,ADDIE MAE COLLINS 2,NYC Administration for Childrens Services,345 EAST 101 STREET,1339
1016730006,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,METRO NORTH CHILD CARE CENTER,NYC Administration for Childrens Services,304 EAST 102 STREET,18173
1016730006,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"UNION SETTLEMENT ASSOCIATION, INC.",NYC Department of Health and Mental Hygiene,304 EAST 102 STREET,30756
1016730006,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,UNION SETTLEMENT ASSOCIATION INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,NYC Administration for Childrens Services,304 EAST 102 STREET,30751
1016730006,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,ADDIE MAE COLLINS COMMUNITY SERVICE INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,NYC Administration for Childrens Services,345 EAST 101 STREET,1345
1016930001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,RENAISSANCE CHARTER HS-INNOVATION,NYC Department of Education,410 EAST 100 STREET,25250
1016930001,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,SUCCESS ACAD CHARTER SCH-HARLEM 3,NYC Department of Education,410 EAST 100 STREET,28586
1016930001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,GLOBAL KIDS INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,410 EAST 100 STREET,12541
1016930001,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,STANLEY M ISAACS NEIGHBORHOOD CENTER INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,410 EAST 100 STREET,28229
1016960001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,NYCHA EAST RIVER,NYC Department of Education,410 EAST 105 STREET,20278
1016960001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,DYCD-EAST RIVER COMMUNITY CENTER,NYC Department of Education,404 EAST 105 STREET,9797
1016960001,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - DAY CARE CENTER,EAST RIVER,NYC Housing Authority,414 EAST 105 STREET,10018
1016960001,HEALTH AND HUMAN SERVICES,HUMAN SERVICES,COMMUNITY CENTERS AND COMMUNITY SCHOOL PROGRAMS,NYCHA COMMUNITY CENTER - DAY CARE CENTER,EAST RIVER,NYC Housing Authority,416 EAST 105 STREET,10019
1016990001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,NYCHA-WILSON HOUSES,NYC Department of Education,405 EAST 105 STREET,20391
1016990001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,PRESIDENT WOODROW WILSON,NYC Department of Education,405 EAST 105 STREET,23925
1017210070,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,HARLEM VILLAGE ACADEMY CHARTER ELEM,NYC Department of Education,74 WEST 124 STREET,13441
1017210070,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,HARLEM VILLAGE ACADEMY WEST 2 CS,NYC Department of Education,74 WEST 124 STREET,13446
1017220067,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,THE BRIDGE SHELTER ACT PROGRAM II,NYS Office of Mental Health,72 WEST 125 STREET,29202
1017220067,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,THE BRIDGE SHELTER ACT PROGRAM I,NYS Office of Mental Health,72 WEST 125 STREET,29201
1017300016,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,FAMILY SUPPORT,CATHOLIC CHARITIES COMMUNITY SERVICES ARCHDIOCESE OF NEW YORK FAMILY SUPPORT,NYC Department of Youth and Community Development,34 WEST 134 STREET,5676
1017300016,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,FAMILY SUPPORT,CENTRAL HARLEM SENIOR CITIZENS' CENTERS INC FAMILY SUPPORT,NYC Department of Youth and Community Development,34 WEST 134 STREET,5899
1017300025,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,ECDO ADAM CLAYTON POWELL ELC,NYC Administration for Childrens Services,25 WEST 132 STREET,10120
1017300025,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"ECUMENICAL COMMUNITY DEVELOPMENT ORGANIZATION, INC.",NYC Department of Health and Mental Hygiene,25 WEST 132 STREET,10143
1017300055,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,NYC PARKS-HANSBOROUGH REC YOUTH,NYC Department of Education,35 WEST 134 STREET,20214
1017300055,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,HANSBOROUGH RECREATION CENTER,NYC Department of Education,35 WEST 134 STREET,13228
1017330001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,EMERGENCY MENTAL HEALTH,HARLEM HOSPITAL CENTER CPEP,NYS Office of Mental Health,506 LENOX AVENUE,13344
1017330001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,EMERGENCY MENTAL HEALTH,HARLEM HOSPITAL CENTER - MOBILE CRISIS MANAGEMENT,NYS Office of Mental Health,506 LENOX AVENUE,13343
1017330001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,HARLEM REHABILITATION COMMUNITY SUPPORT SYSTEMS,NYS Office of Mental Health,506 LENOX AVENUE,13368
1017330001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,HARLEM HOSPITAL ADULT OUTPATIENT CLINIC,NYS Office of Mental Health,506 LENOX AVENUE,13334
1017330001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,CHILD AND ADOLESCENT PSYCHIATRY CLINIC,NYS Office of Mental Health,506 LENOX AVENUE,6149
1017330001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,HARLEM HOSPITAL CENTER - ADULT CONSULTATION/LIAISON,NYS Office of Mental Health,506 LENOX AVENUE,13338
1017330001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,HARLEM HOSPITAL CENTER - CHILD CONSULTATION/LIAISON,NYS Office of Mental Health,506 LENOX AVENUE,13339
1017330001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,HHC HARLEM HOSPITAL CENTER MENTAL HEALTH SERVICES,NYC Department of Health and Mental Hygiene,506 LENOX AVENUE,13795
1017340001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,HARLEM HOSPITAL CENTER - HH NONMED CM,NYS Office of Mental Health,22 WEST 137 STREET,13341
1017340001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,HARLEM HOSPITAL CENTER - HH CM,NYS Office of Mental Health,22 WEST 137 STREET,13340
1017340001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,PSYCHOSOCIAL CLUB,NYS Office of Mental Health,15 WEST 136 STREET,24381
1017570001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,NYCHA LINCOLN COMMUNITY,NYC Department of Education,2102 MADISON AVENUE,20288
1017570001,"EDUCATION, CHILD WELFARE, AND YOUTH",CHILD SERVICES AND WELFARE,CHILD NUTRITION,SUMMER ONLY FEEDING SITE,PRESIDENT ABRAHAM LINCOLN,NYC Department of Education,2110 MADISON AVENUE,23921
1017630001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"SHELTERING ARMS CHILDREN AND FAMILY SERVICES, INC.",NYC Department of Health and Mental Hygiene,2289 5 AVENUE,26748
1017630001,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,EPISCOPAL HS - FIFTH AVENUE,NYC Administration for Childrens Services,2289 FIFTH AVENUE,10804
1017680021,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,CITIZEN SCHOOLS INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,160 EAST 120 STREET,6539
1017680021,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,UNION SETTLEMENT ASSOCIATION INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,160 EAST 120 STREET,30737
1017697501,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,PROJECT FOR PSYCHIATRIC OUTREACH TO THE HOMELESS,NYS Office of Mental Health,198 EAST 121 STREET,23995
1017697501,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,RE-ENTRY COORDINATION SYSTEM,NYS Office of Mental Health,198 EAST 121 STREET,25059
1017697501,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,FORENSIC TRAINING ACADEMY,NYS Office of Mental Health,198 EAST 121 STREET,11610
1017697501,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,HRC-PATH,NYS Office of Mental Health,198 EAST 121 STREET,14240
1017697501,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,R.P.M.S. ADVOCACY/SUPPORT SERVICES,NYS Office of Mental Health,198 EAST 121 STREET,24915
1017700072,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HEALTH FACILITY,BAILEY HOUSE INC MEDICAL CASE MANAGEMENT,NYC Department of Health and Mental Hygiene,1751 PARK AVENUE,2584
1017700072,HEALTH AND HUMAN SERVICES,HEALTH CARE,OTHER HEALTH CARE,HEALTH FACILITY,BAILEY HOUSE INC CITY COUNCIL INITIATIVES [574],NYC Department of Health and Mental Hygiene,1751 PARK AVENUE,2579
1017710039,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,EAST HARLEM TEAM II,NYS Office of Mental Health,186 EAST 123 STREET,9984
1017710039,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,EAST HARLEM TEAM III,NYS Office of Mental Health,186 EAST 123 STREET,9958
1017710039,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,EAST HARLEM TEAM I,NYS Office of Mental Health,186 EAST 123 STREET,9983
1017740001,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,HARLEM CLINICS #1 #3 #6 #7,NYS Department of Health,103 EAST 125 STREET,13300
1017740001,HEALTH AND HUMAN SERVICES,HEALTH CARE,HOSPITALS AND CLINICS,HOSPITAL EXTENSION CLINIC,BETH ISRAEL MED CENTER #2,NYS Department of Health,103 EAST 125 STREET,3230
1017750001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,ABC EARLY RECOGNITION AND SCREENING CLINIC,NYS Office of Mental Health,1841 PARK AVENUE,1121
1017750001,HEALTH AND HUMAN SERVICES,HEALTH CARE,MENTAL HEALTH,SUPPORT MENTAL HEALTH,SCHOOL RESPONSE TEAM,NYS Office of Mental Health,1841 PARK AVENUE,26341
1017807501,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,LSSNY - EARLY LIFE CTR 12,NYC Administration for Childrens Services,1951 PARK AVENUE,17222
1017807501,"EDUCATION, CHILD WELFARE, AND YOUTH",DAY CARE AND PRE-KINDERGARTEN,DAY CARE,DAY CARE,"LUTHERAN SOCIAL SERVICES OF METROPOLITAN NEW YORK, INC.",NYC Department of Health and Mental Hygiene,1951 PARK AVENUE,17292
1017840012,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,UNION SETTLEMENT ASSOCIATION INC AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,216 EAST 120 STREET,30739
1017840012,"EDUCATION, CHILD WELFARE, AND YOUTH",YOUTH SERVICES,AFTER-SCHOOL PROGRAMS,AFTERSCHOOL PROGRAMS,YMCA OF GREATER NEW YORK/HARLEM BRANCH AFTERSCHOOL PROGRAMS,NYC Department of Youth and Community Development,216 EAST 120 STREET,32903
1017860026,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,UNIT I OTP,NYS Office of Alcoholism and Substance Abuse Services,2369 2 AVENUE,30796
1017860026,HEALTH AND HUMAN SERVICES,HEALTH CARE,CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,UNIT II OTP,NYS Office of Alcoholism and Substance Abuse Services,2369 2 AVENUE,30798
1017870080,"EDUCATION, CHILD WELFARE, AND YOUTH",SCHOOLS (K-12),CHARTER K-12 SCHOOLS,CHARTER SCHOOL,HARLEM PREP CHARTER SCHOOL,NYC Department of Education,240 EAST 123 STREET,13361
