facsubgrp,factype,id,facname,id,facname
OTHER HEALTH CARE,NEW YORK CONNECTS,8283,COMMUNITY AGENCY FOR SENIOR CITIZENS INC NEW YORK CONNECTS,8282,COMMUNITY AGENCY FOR SENIOR CITIZENS INC CASE MANAGEMENT ONLY
OTHER HEALTH CARE,SOCIAL SERVICES ONLY,8284,COMMUNITY AGENCY FOR SENIOR CITIZENS INC SOCIAL SERVICES ONLY,8283,COMMUNITY AGENCY FOR SENIOR CITIZENS INC NEW YORK CONNECTS
HEALTH PROMOTION AND DISEASE PREVENTION,HIV PREVENTION SERVICES,8326,"COMMUNITY HEALTH ACTION OF STATEN ISLAND INC DEMONSTRATION PROJECTS FOR INNOVATIVE, HIGH-IMPACT HIV PREVENTION INTERVENTIONS AND STRATEGIES",8327,COMMUNITY HEALTH ACTION OF STATEN ISLAND INC FAITH-BASED INITIATIVE
HEALTH PROMOTION AND DISEASE PREVENTION,HARM REDUCTION CENTER,8327,COMMUNITY HEALTH ACTION OF STATEN ISLAND INC FAITH-BASED INITIATIVE,8326,"COMMUNITY HEALTH ACTION OF STATEN ISLAND INC DEMONSTRATION PROJECTS FOR INNOVATIVE, HIGH-IMPACT HIV PREVENTION INTERVENTIONS AND STRATEGIES"
HEALTH PROMOTION AND DISEASE PREVENTION,GENERAL PREVENTIVE CARE (PC),8391,COMMUNITY MEDIATION SERVICES INC GENERAL PREVENTIVE CARE (PC),8392,COMMUNITY MEDIATION SERVICES INC PREVENTIVE SERVICES
SOUP KITCHENS AND FOOD PANTRIES,FOOD PANTRY,8371,COMMUNITY IMPACT FOOD PANTRY,8372,COMMUNITY IMPACT SOUP KITCHEN
SOUP KITCHENS AND FOOD PANTRIES,SOUP KITCHEN,8372,COMMUNITY IMPACT SOUP KITCHEN,8371,COMMUNITY IMPACT FOOD PANTRY
SOUP KITCHENS AND FOOD PANTRIES,SOUP KITCHEN,8374,COMMUNITY KITCHEN AND FOOD PANTRY (KITCHEN),8375,COMMUNITY KITCHEN AND FOOD PANTRY (PANTRY)
SOUP KITCHENS AND FOOD PANTRIES,FOOD PANTRY,8375,COMMUNITY KITCHEN AND FOOD PANTRY (PANTRY),8374,COMMUNITY KITCHEN AND FOOD PANTRY (KITCHEN)
CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,8410,COMMUNITY PARTNERSHIP CHARTER SCHOOL,8409,COMMUNITY PARTNERSHIP CHARTER
OTHER HEALTH CARE,SEXUAL AND BEHAVIORAL HEALTH SERVICES FOR PRIORITY POPULATIONS MOST HEAVILY IMPACTED BY HIV,8346,COMMUNITY HEALTH PROJECT INC SEXUAL AND BEHAVIORAL HEALTH SERVICES FOR PRIORITY POPULATIONS MOST HEAVILY IMPACTED BY HIV,8347,COMMUNITY HEALTH PROJECT INC STATUS-NEUTRAL CARE COORDINATION
OTHER HEALTH CARE,STATUS-NEUTRAL CARE COORDINATION,8347,COMMUNITY HEALTH PROJECT INC STATUS-NEUTRAL CARE COORDINATION,8346,COMMUNITY HEALTH PROJECT INC SEXUAL AND BEHAVIORAL HEALTH SERVICES FOR PRIORITY POPULATIONS MOST HEAVILY IMPACTED BY HIV
HEALTH PROMOTION AND DISEASE PREVENTION,PREVENTIVE SERVICES,8392,COMMUNITY MEDIATION SERVICES INC PREVENTIVE SERVICES,8391,COMMUNITY MEDIATION SERVICES INC GENERAL PREVENTIVE CARE (PC)
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,8409,COMMUNITY PARTNERSHIP CHARTER,8410,COMMUNITY PARTNERSHIP CHARTER SCHOOL
MENTAL HEALTH,EMERGENCY MENTAL HEALTH,8517,CONEY ISLAND HOSPITAL - EMERGENCY SERVICES,8518,CONEY ISLAND HOSPITAL ACT I
MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,8518,CONEY ISLAND HOSPITAL ACT I,8517,CONEY ISLAND HOSPITAL - EMERGENCY SERVICES
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,8536,CONEY ISLAND PREP PUBLIC CHARTER SCH,8537,CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL
MENTAL HEALTH,OUTPATIENT MENTAL HEALTH,8520,CONEY ISLAND HOSPITAL CHILD AND ADULT OUTPATIENT CLINIC PROG,8521,CONEY ISLAND HOSPITAL CONSULTATION/LIAISON PROGRAM
CHARTER K-12 SCHOOLS,K-12 ALL GRADES SCHOOL - CHARTER,8537,CONEY ISLAND PREPARATORY PUBLIC CHARTER SCHOOL,8536,CONEY ISLAND PREP PUBLIC CHARTER SCH
MENTAL HEALTH,SUPPORT MENTAL HEALTH,8521,CONEY ISLAND HOSPITAL CONSULTATION/LIAISON PROGRAM,8520,CONEY ISLAND HOSPITAL CHILD AND ADULT OUTPATIENT CLINIC PROG
PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - PUBLIC,8723,CORNERSTONE ACADEMY FOR SOCIAL ACTION,8724,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA)
DAY CARE,DAY CARE,8728,CORNERSTONE DAY CARE CTR,8727,CORNERSTONE DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
CHEMICAL DEPENDENCY,INPATIENT REHABILITATION,8730,CORNERSTONE OF MEDICAL ARTS CENTER IP,8731,CORNERSTONE OF MEDICAL ARTS CTR MSW IP
PUBLIC K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - PUBLIC,8724,CORNERSTONE ACADEMY FOR SOCIAL ACTION MIDDLE SCHOOL (CASA),8723,CORNERSTONE ACADEMY FOR SOCIAL ACTION
CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL - INPATIENT,8731,CORNERSTONE OF MEDICAL ARTS CTR MSW IP,8732,"CORNERSTONE OF RHINEBECK, NY IP"
CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL - INPATIENT,8731,CORNERSTONE OF MEDICAL ARTS CTR MSW IP,8730,CORNERSTONE OF MEDICAL ARTS CENTER IP
CHEMICAL DEPENDENCY,INPATIENT REHABILITATION,8732,"CORNERSTONE OF RHINEBECK, NY IP",8733,"CORNERSTONE OF RHINEBECK, NY MSW IP 1"
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,8727,CORNERSTONE DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,8728,CORNERSTONE DAY CARE CTR
CHEMICAL DEPENDENCY,INPATIENT REHABILITATION,8732,"CORNERSTONE OF RHINEBECK, NY IP",8731,CORNERSTONE OF MEDICAL ARTS CTR MSW IP
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,9357,DEWITT REFORMED CHURCH HEAD START EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,9358,DEWITT REFORMED CHURCH HS
CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL - INPATIENT,8733,"CORNERSTONE OF RHINEBECK, NY MSW IP 1",8732,"CORNERSTONE OF RHINEBECK, NY IP"
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,8878,"CREATE, INC. OP",8879,"CREATE, INC. RR"
CHEMICAL DEPENDENCY,820 REHAB AND REINTEGRATION,8879,"CREATE, INC. RR",8878,"CREATE, INC. OP"
SOUP KITCHENS AND FOOD PANTRIES,SOUP KITCHEN,8940,CROSSROADS COMMUNITY SERVICES,8941,CROSSROADS COMMUNITY SERVICES INC.
SOUP KITCHENS AND FOOD PANTRIES,FOOD PANTRY,8941,CROSSROADS COMMUNITY SERVICES INC.,8940,CROSSROADS COMMUNITY SERVICES
HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,8966,CROWN HEIGHTS CHILD & ADOLESCENT HEALTH CLINIC,8967,CROWN HEIGHTS CHILD HEALTH CLINIC
HOSPITALS AND CLINICS,CHILD HEALTH CENTER,8967,CROWN HEIGHTS CHILD HEALTH CLINIC,8966,CROWN HEIGHTS CHILD & ADOLESCENT HEALTH CLINIC
DAY CARE,DAY CARE,9358,DEWITT REFORMED CHURCH HS,9357,DEWITT REFORMED CHURCH HEAD START EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","HEALTHY FAMILIES FAMILY SUPPORT,NDA PROGRAMS",9781,DUNLEVY MILBANK CENTER,9782,DUNLEVY MILBANK ELEMENTARY
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,SUMMER PROGRAM,SUMMER CAMP",9782,DUNLEVY MILBANK ELEMENTARY,9781,DUNLEVY MILBANK CENTER
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,9822,DYNAMIC YOUTH COMMUNITY INC OP,9823,"DYNAMIC YOUTH COMMUNITY, INC. IR"
CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,9823,"DYNAMIC YOUTH COMMUNITY, INC. IR",9824,DYNAMIC YOUTH CR
CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,9823,"DYNAMIC YOUTH COMMUNITY, INC. IR",9822,DYNAMIC YOUTH COMMUNITY INC OP
CHEMICAL DEPENDENCY,COMMUNITY RESIDENTIAL,9824,DYNAMIC YOUTH CR,9823,"DYNAMIC YOUTH COMMUNITY, INC. IR"
DAY CARE,DAY CARE,9931,EAST CALVARY DAY CARE CENTER,9932,EAST CALVARY DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,9932,EAST CALVARY DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,9931,EAST CALVARY DAY CARE CENTER
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,9967,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,9968,EAST HARLEM COUNCIL HS 1
DAY CARE,DAY CARE,9968,EAST HARLEM COUNCIL HS 1,9967,EAST HARLEM COUNCIL FOR HUMAN SERVICES INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
CHEMICAL DEPENDENCY,INPATIENT REHABILITATION,10324,"ELEV8 CENTER NEW YORK, LLC IP",10325,"ELEV8 CENTER NEW YORK, LLC MSW IP"
PROPRIETARY SCHOOLS,REGISTERED BUSINESS SCHOOLS,10208,EDP SCHOOL OF COMPUTER PROGRAMMING,10209,"EDP SCHOOL OF COMPUTER PROGRAMMING,"
PROPRIETARY SCHOOLS,LICENSED PRIVATE SCHOOLS,10209,"EDP SCHOOL OF COMPUTER PROGRAMMING,",10208,EDP SCHOOL OF COMPUTER PROGRAMMING
CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,10290,EL REGRESO IR 1,10291,"EL REGRESO, INC. OP"
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,10291,"EL REGRESO, INC. OP",10290,EL REGRESO IR 1
CHEMICAL DEPENDENCY,MED SUP WITHDRAWAL - INPATIENT,10325,"ELEV8 CENTER NEW YORK, LLC MSW IP",10324,"ELEV8 CENTER NEW YORK, LLC IP"
CHEMICAL DEPENDENCY,INTENSIVE RESIDENTIAL,10362,ELMCOR YOUTH & ADULT ACTIVITIES IR,10363,ELMCOR YOUTH & ADULT ACTIVITIES OP
HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER EXTENSION CLINIC,10312,ELEANOR ROOSEVELT HOUSES CHILD HC,10313,ELEANOR ROOSEVELT HOUSES CHILD HEALTH CLINIC
HOSPITALS AND CLINICS,CHILD HEALTH CENTER,10313,ELEANOR ROOSEVELT HOUSES CHILD HEALTH CLINIC,10312,ELEANOR ROOSEVELT HOUSES CHILD HC
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,10363,ELMCOR YOUTH & ADULT ACTIVITIES OP,10362,ELMCOR YOUTH & ADULT ACTIVITIES IR
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,11787,FORTE PREPARATORY ACADEMY CHARTER,11788,FORTE PREPARATORY ACADEMY CHARTER SCHOOL
SOUP KITCHENS AND FOOD PANTRIES,SOUP KITCHEN,11016,FAITH ASSEMBLIES,11017,FAITH ASSEMBLIES OF GOD
SOUP KITCHENS AND FOOD PANTRIES,FOOD PANTRY,11017,FAITH ASSEMBLIES OF GOD,11016,FAITH ASSEMBLIES
CHARTER K-12 SCHOOLS,JUNIOR HIGH-INTERMEDIATE-MIDDLE SCHOOL - CHARTER,11788,FORTE PREPARATORY ACADEMY CHARTER SCHOOL,11787,FORTE PREPARATORY ACADEMY CHARTER
SOLID WASTE PROCESSING,RECYCLABLES HANDLING AND RECOVERY,11789,FORTUNE METAL,11790,FORTUNE METAL INC.
SOLID WASTE PROCESSING,SCRAP METAL PROCESSING,11790,FORTUNE METAL INC.,11789,FORTUNE METAL
MENTAL HEALTH,EMERGENCY MENTAL HEALTH,10381,ELMHURST HOSPITAL CENTER - HBCI,10382,ELMHURST HOSPITAL CENTER INPATIENT SERVICES
MENTAL HEALTH,INPATIENT MENTAL HEALTH,10382,ELMHURST HOSPITAL CENTER INPATIENT SERVICES,10381,ELMHURST HOSPITAL CENTER - HBCI
NON-PUBLIC K-12 SCHOOLS,MIDDLE SCHOOL - NON-PUBLIC,10856,ETHICAL CULTURE FIELDSTON MIDDLE SCH,10857,ETHICAL CULTURE FIELDSTON SCHOOL
NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,10857,ETHICAL CULTURE FIELDSTON SCHOOL,10858,ETHICAL CULTURE THE FIELDSTON LS
NON-PUBLIC K-12 SCHOOLS,HIGH SCHOOL - NON-PUBLIC,10857,ETHICAL CULTURE FIELDSTON SCHOOL,10856,ETHICAL CULTURE FIELDSTON MIDDLE SCH
NON-PUBLIC K-12 SCHOOLS,ELEMENTARY SCHOOL - NON-PUBLIC,10858,ETHICAL CULTURE THE FIELDSTON LS,10857,ETHICAL CULTURE FIELDSTON SCHOOL
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,10933,EXPLORE EMPOWER CHARTER SCH,10934,EXPLORE EMPOWER CHARTER SCHOOL
CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,10934,EXPLORE EMPOWER CHARTER SCHOOL,10933,EXPLORE EMPOWER CHARTER SCH
IMMIGRANT SERVICES,"IMMIGRANT NDA PROGRAMS,IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES",10984,F.E.G.S BROOKLYN RESOURCE CENTER,10985,F.E.G.S. BROOKLYN RESOURCE CENTER [PROGRAM SITE]
IMMIGRANT SERVICES,"NDA IMMIGRANTS IMMIGRATION SERVICES,IMMIGRANT SUPPORT SERVICES,NDA PROGRAMS,NDA IMMIGRANTS",10985,F.E.G.S. BROOKLYN RESOURCE CENTER [PROGRAM SITE],10984,F.E.G.S BROOKLYN RESOURCE CENTER
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,11881,FRED DOUG HIGH SCHOOL,11882,FRED DOUGLAS ELEMENTARY
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,SUMMER PROGRAM,SUMMER CAMP",11882,FRED DOUGLAS ELEMENTARY,11881,FRED DOUG HIGH SCHOOL
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,12105,FUTURE LEADERS INST CHARTER SCHOOL,12106,FUTURE LEADERS INSTITUTE CHARTER SCHOOL
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,11866,FRANKLIN K. LANE,11867,FRANKLIN K. LANE HIGH SCHOOL
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","SUMMER YOUTH EMPLOYMENT JOBS & INTERNSHIPS,YOUTH EMPLOYMENT",11867,FRANKLIN K. LANE HIGH SCHOOL,11866,FRANKLIN K. LANE
CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,12106,FUTURE LEADERS INSTITUTE CHARTER SCHOOL,12105,FUTURE LEADERS INST CHARTER SCHOOL
DOE UNIVERSAL PRE-KINDERGARTEN,DISTRICT PRE-K CENTER SCHOOL - PUBLIC,12179,GARDEN OF LEARNING AND DISCOVERY PRE-K CENTER,12180,GARDEN OF LEARNING AND DISCOVERY PRE-K CENTER AT 1434 OGDEN AVENUE
DOE UNIVERSAL PRE-KINDERGARTEN,PRE-K CENTER,12180,GARDEN OF LEARNING AND DISCOVERY PRE-K CENTER AT 1434 OGDEN AVENUE,12179,GARDEN OF LEARNING AND DISCOVERY PRE-K CENTER
DAY CARE,DAY CARE,12143,GAN DAY CARE CENTER INC,12144,GAN DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
DAY CARE,DAY CARE,12923,GREATER FLUSHING COMMUNITY COUNCIL INC,12924,GREATER FLUSHING COMMUNITY COUNCIL INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,12144,GAN DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,12143,GAN DAY CARE CENTER INC
HOSPITALS AND CLINICS,CHILD HEALTH CENTER,12712,GOUVERNEUR DIAGNOSTIC & TREATMENT CENTER,12713,GOUVERNEUR DIAGNOSTIC AND TREATMENT CENTER
HOSPITALS AND CLINICS,DIAGNOSTIC AND TREATMENT CENTER,12713,GOUVERNEUR DIAGNOSTIC AND TREATMENT CENTER,12712,GOUVERNEUR DIAGNOSTIC & TREATMENT CENTER
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,12924,GREATER FLUSHING COMMUNITY COUNCIL INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,12923,GREATER FLUSHING COMMUNITY COUNCIL INC
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,12967,"GREENHOPE SERVICES FOR WOMEN, INC. OP1",12968,"GREENHOPE SERVICES FOR WOMEN, INC. SRR"
CHEMICAL DEPENDENCY,820 STABIL REHAB REINTEGRATION,12968,"GREENHOPE SERVICES FOR WOMEN, INC. SRR",12967,"GREENHOPE SERVICES FOR WOMEN, INC. OP1"
SOLID WASTE PROCESSING,RECYCLABLES HANDLING AND RECOVERY,12985,GREENPOINT SCRAP METAL,12986,"GREENPOINT SCRAP METAL, INC."
SOLID WASTE PROCESSING,SCRAP METAL PROCESSING,12986,"GREENPOINT SCRAP METAL, INC.",12985,GREENPOINT SCRAP METAL
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,12990,GREENWICH HOUSE COUNSELING CENTER OP,12991,GREENWICH HOUSE EAST OTP
CHEMICAL DEPENDENCY,OPIOID OUTPATIENT TREATMENT,12991,GREENWICH HOUSE EAST OTP,12990,GREENWICH HOUSE COUNSELING CENTER OP
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,13529,HAWTHORNE CORNERS DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,13530,HAWTHORNE CORNERS DCC
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,13260,HARBOR SCI & ARTS CHARTER SCHOOL,13261,HARBOR SCIENCE AND ARTS CHARTER SCHOOL
CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,13261,HARBOR SCIENCE AND ARTS CHARTER SCHOOL,13260,HARBOR SCI & ARTS CHARTER SCHOOL
MENTAL HEALTH,INPATIENT MENTAL HEALTH,13342,HARLEM HOSPITAL CENTER - MARTIN LUTHER KING PAVILION,13343,HARLEM HOSPITAL CENTER - MOBILE CRISIS MANAGEMENT
MENTAL HEALTH,EMERGENCY MENTAL HEALTH,13343,HARLEM HOSPITAL CENTER - MOBILE CRISIS MANAGEMENT,13342,HARLEM HOSPITAL CENTER - MARTIN LUTHER KING PAVILION
DAY CARE,DAY CARE,13530,HAWTHORNE CORNERS DCC,13529,HAWTHORNE CORNERS DAY CARE CENTER INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,14129,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORP. EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,14130,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION
OTHER HEALTH CARE,CAREGIVER,13653,HEIGHTS AND HILLS INC CAREGIVER,13654,HEIGHTS AND HILLS INC CASE MANAGEMENT ONLY
OTHER HEALTH CARE,CASE MANAGEMENT ONLY,13654,HEIGHTS AND HILLS INC CASE MANAGEMENT ONLY,13653,HEIGHTS AND HILLS INC CAREGIVER
DAY CARE,DAY CARE,14130,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORPORATION,14129,HOSPITAL CLINIC HOME CENTER INSTRUCTIONAL CORP. EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
OTHER HEALTH CARE,UNDETECTABLES VIRAL LOAD SUPPRESSION TECHNICAL ASSISTANCE,14199,HOUSING WORKS INC UNDETECTABLES VIRAL LOAD SUPPRESSION TECHNICAL ASSISTANCE,14200,HOUSING WORKS INC VIRAL SUPPRESSION LAB
OTHER HEALTH CARE,TESTING LABORATORY,14200,HOUSING WORKS INC VIRAL SUPPRESSION LAB,14199,HOUSING WORKS INC UNDETECTABLES VIRAL LOAD SUPPRESSION TECHNICAL ASSISTANCE
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,14360,HYDE LEADERSHIP CS-BROOKLYN,14359,HYDE LEADERSHIP CHARTER SCHOOL- BROOKLYN
CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,14526,ICAHN CHARTER SCHOOL 3,14527,ICAHN CHARTER SCHOOL 4
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,SUMMER PROGRAM,SUMMER CAMP",14419,I.S. 126 ALBERT SHANKER SCHOOL,14420,I.S. 126- ASTORIA INTERMEDIATE SCHOOL
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","ADOLESCENT LITERACY READING & WRITING,NDA PROGRAMS,FAMILY LITERACY",14420,I.S. 126- ASTORIA INTERMEDIATE SCHOOL,14419,I.S. 126 ALBERT SHANKER SCHOOL
CHILD NUTRITION,FEEDING SITE,14351,HYATT NURTURING TREE,14352,HYATT NURTURING TREE DAY CAMP
CHILD NUTRITION,SUMMER ONLY FEEDING SITE,14352,HYATT NURTURING TREE DAY CAMP,14351,HYATT NURTURING TREE
CHARTER K-12 SCHOOLS,ELEMENTARY SCHOOL - CHARTER,14359,HYDE LEADERSHIP CHARTER SCHOOL- BROOKLYN,14360,HYDE LEADERSHIP CS-BROOKLYN
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","HEALTHY FAMILIES FAMILY SUPPORT,NDA PROGRAMS",14417,I.S. 126 - THE ALBERT SHANKER SCHOOL FOR THE VISUAL AND PERFORMING ARTS,14418,I.S. 126 ALBERT SHANKER SCHOOL
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,14418,I.S. 126 ALBERT SHANKER SCHOOL,14417,I.S. 126 - THE ALBERT SHANKER SCHOOL FOR THE VISUAL AND PERFORMING ARTS
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,14527,ICAHN CHARTER SCHOOL 4,14526,ICAHN CHARTER SCHOOL 3
CHARTER K-12 SCHOOLS,K-8 SCHOOL - CHARTER,14528,ICAHN CHARTER SCHOOL 4,14529,ICAHN CHARTER SCHOOL 5
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,14529,ICAHN CHARTER SCHOOL 5,14528,ICAHN CHARTER SCHOOL 4
DAY CARE,DAY CARE,14738,INNER FORCE TOTS  INC.,14739,INNER FORCE TOTS INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES
DAY CARE,EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,14739,INNER FORCE TOTS INC EARLY LEARN NYC: NEW YORK CITY'S EARLY CARE AND EDUCATION SERVICES,14738,INNER FORCE TOTS  INC.
HEALTH PROMOTION AND DISEASE PREVENTION,OTHER PREVENTION SERVICES,14899,INWOOD COMMUNITY SERVICES INC OTHER PREVENTION SERVICES,14900,INWOOD COMMUNITY SERVICES INC PRIMARY PREVENTION SERVICES
CHEMICAL DEPENDENCY,MEDICAL MANAGED DETOXIFICATION,14800,INTERFAITH MEDICAL CENTER MMD,14801,INTERFAITH MEDICAL CENTER OP
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,14801,INTERFAITH MEDICAL CENTER OP,14802,INTERFAITH MEDICAL CENTER OP R
CHEMICAL DEPENDENCY,OUTPATIENT CLINIC,14801,INTERFAITH MEDICAL CENTER OP,14800,INTERFAITH MEDICAL CENTER MMD
CHEMICAL DEPENDENCY,OUTPATIENT REHABILITATION,14802,INTERFAITH MEDICAL CENTER OP R,14801,INTERFAITH MEDICAL CENTER OP
CHARTER K-12 SCHOOLS,CHARTER SCHOOL,14852,INTERNATIONAL LEADERSHIP CHARTER HIG,14853,INTERNATIONAL LEADERSHIP CHARTER HIGH SCHOOL
CHARTER K-12 SCHOOLS,HIGH SCHOOL - CHARTER,14853,INTERNATIONAL LEADERSHIP CHARTER HIGH SCHOOL,14852,INTERNATIONAL LEADERSHIP CHARTER HIG
HEALTH PROMOTION AND DISEASE PREVENTION,PRIMARY PREVENTION SERVICES,14900,INWOOD COMMUNITY SERVICES INC PRIMARY PREVENTION SERVICES,14899,INWOOD COMMUNITY SERVICES INC OTHER PREVENTION SERVICES
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES","OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,SUMMER PROGRAM,SUMMER CAMP",15230,JACOB A. RIIS,15231,"JACOB A. RIIS NEIGHBORHOOD SETTLEMENT, INC."
SOUP KITCHENS AND FOOD PANTRIES,FOOD PANTRY,14929,IRIS HOUSE WEST SIDE FOOD PANTRY,14930,IRIS HOUSE WESTSIDE SOUP KITCHEN
SOUP KITCHENS AND FOOD PANTRIES,SOUP KITCHEN,14930,IRIS HOUSE WESTSIDE SOUP KITCHEN,14929,IRIS HOUSE WEST SIDE FOOD PANTRY
"YOUTH CENTERS, LITERACY PROGRAMS, AND JOB TRAINING SERVICES",OUT OF SCHOOL TIME AFTER-SCHOOL PROGRAMS,15054,ITALIAN AMERICAN CIVIL,15055,ITALIAN AMERICAN CIVIL RIGHTS LEAGUE
